;proceedings:ID;address:string;author:string[];booktitle:string;cite:string[];cite-label:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string;isbn:string[];isbn-type:string[];journal:string;key:string;mdate:date;note:string[];note-type:string;number:string;pages:string;publisher:string[];publisher-href:string;publtype:string;school:string;series:string[];series-href:string[];sub:string;sup:string[];title:string;url:string[];volume:string;year:int
45031;8566988;;;FTDCS;;;;;http://www.computer.org/csdl/proceedings/ftdcs/2004/2118/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/9202/proceeding;;;0-7695-2118-5;;;conf/ftdcs/2004;2019-10-16;;;;;IEEE Computer Society;;;;;;;;10th IEEE International Workshop on Future Trends of Distributed Computing Systems (FTDCS 2004), 26-28 May 2004, Suzhou, China;db/conf/ftdcs/ftdcs2004.html;;2004
27695;7566134;;;ISW;;;Eiji Okamoto|Jennifer Seberry|Josef Pieprzyk;;https://doi.org/10.1007/3-540-44456-4|https://www.wikidata.org/entity/Q62559315;;;3-540-41416-9;;;conf/isw/2000;2019-06-02;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Information Security, Third International Workshop, ISW 2000, Wollongong, NSW, Australia, December 20-21, 2000, Proceedings;db/conf/isw/isw2000.html;1975;2000
29873;7697355;;;RecSys;;;Alexander Felfernig|Alexander Tuzhilin|Lars Schmidt-Thieme|Lawrence D. Bergman|Robin D. Burke;;;;;978-1-60558-435-5;;;conf/recsys/2009;2010-01-11;;;;;ACM;;;;;;;;Proceedings of the 2009 ACM Conference on Recommender Systems, RecSys 2009, New York, NY, USA, October 23-25, 2009;db/conf/recsys/recsys2009.html;;2009
6722;6212381;;;HCI (1);;;Julie A. Jacko;;https://doi.org/10.1007/978-3-540-73105-4;;;978-3-540-73104-7;;;conf/hci/2007-1;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Human-Computer Interaction. Interaction Design and Usability, 12th International Conference, HCI International 2007, Beijing, China, July 22-27, 2007, Proceedings, Part I;db/conf/hci/hci2007-1.html;4550;2007
40185;8308139;;;ICSE;;;Leon G. Stucki|Seymour Jeffrey;;http://dl.acm.org/citation.cfm?id=800078;;;0-89791-146-6;;;conf/icse/1981;2012-05-14;;;;;IEEE Computer Society;;;;;;;;Proceedings of the 5th International Conference on Software Engineering, San Diego, California, USA, March 9-12, 1981.;db/conf/icse/icse81.html;;1981
4578;6086094;;;PEPM;;;Jeremy G. Siek|Siau-Cheng Khoo;;http://dl.acm.org/citation.cfm?id=1929501;;;978-1-4503-0485-6;;;conf/pepm/2011;2012-05-22;;;;;ACM;;;;;;;;Proceedings of the 2011 ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation, PEPM 2011, Austin, TX, USA, January 24-25, 2011;db/conf/pepm/pepm2011.html;;2011
33600;7939500;;;ICDCS;;;;;;;;;;;conf/icdcs/1987;2013-11-27;;;;;IEEE Computer Society;;;;;;;;Proceedings of the 7th International Conference on Distributed Computing Systems, Berlin, Germany, September 1987;db/conf/icdcs/icdcs87.html;;1987
1427;5916480;;;ICB;;;Mark S. Nixon|Massimo Tistarelli;;https://doi.org/10.1007/978-3-642-01793-3;;;978-3-642-01792-6;;;conf/icb/2009;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Advances in Biometrics, Third International Conference, ICB 2009, Alghero, Italy, June 2-5, 2009. Proceedings;db/conf/icb/icb2009.html;5558;2009
22330;7236446;;;ISNN (2);;;Changyin Sun|Derong Liu 0001|Huaguang Zhang|Shumin Fei|Zeng-Guang Hou;;https://doi.org/10.1007/978-3-540-72393-6;;;978-3-540-72392-9;;;conf/isnn/2007-2;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Advances in Neural Networks - ISNN 2007, 4th International Symposium on Neural Networks, ISNN 2007, Nanjing, China, June 3-7, 2007, Proceedings, Part II;db/conf/isnn/isnn2007-2.html;4492;2007
5799;6174201;;;Diversity++@ISWC;;;Claudia d'Amato|Fabian Wirth|Freddy Lécué|Raghava Mutharaju|Tom Narock;;http://ceur-ws.org/Vol-1501|https://nbn-resolving.org/urn:nbn:de:0074-1501-4;oa;;;;;conf/semweb/2015diversity;2020-02-12;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 1st International Diversity++ Workshop co-located with the 14th International Semantic Web Conference (ISWC 2015), Bethlehem, Pennsylvania, USA, October 12, 2015.;db/conf/semweb/diversity2015.html;1501;2015
