;incollection:ID;author:string[];author-orcid:string[];booktitle:string;cdrom:string;chapter:int;cite:string[];cite-label:string[];crossref:string;ee:string[];ee-type:string[];i:string[];key:string;mdate:date;note:string;number:string;pages:string;publisher:string;publisher-href:string;publtype:string;sub:string[];sup:string[];title:string;url:string;year:int
11482;12133;;;Encyclopedia of GIS;;;;;reference/gis/2008;https://doi.org/10.1007/978-0-387-35973-1_302;;;reference/gis/X08in;2017-07-12;;;245;;;encyclopedia;;;Discord or Non-Specificity in Spatial Data.;db/reference/gis/gis2008.html#X08in;2008
20194;20891;;;Encyclopedia of Social Network Analysis and Mining;;;;;;https://doi.org/10.1007/978-1-4614-6170-8_100364;;;reference/snam/X14xat;2017-07-12;;;2267;;;encyclopedia;;;UI Mash-Ups.;db/reference/snam/snam2014.html#X14xat;2014
13329;13987;;;Computer Vision, A Reference Guide;;;;;;https://doi.org/10.1007/978-0-387-31439-6_100081;;;reference/vision/X14b;2017-07-12;;;5;;;encyclopedia;;;Active Camera Calibration.;db/reference/vision/vision2014.html#X14b;2014
41699;2857478;Chenyi Zhang|Jianling Sun|Ke Wang 0001;;Social Network Analysis;;;;;series/lnsn/2014ms;https://doi.org/10.1007/978-3-319-12188-8_10;;;series/lnsn/ZhangSW14;2017-08-24;;;219-241;;;;;;Latent Tunnel Based Information Propagation in Microblog Networks.;db/series/lnsn/ms2014.html#ZhangSW14;2014
54559;2883905;Keigo Watanabe|Sangho Jin|Spyros G. Tzafestas;;Robotics, Mechatronics and Manufacturing Systems;;;;;books/el/93/TT1993;https://doi.org/10.1016/b978-0-444-89700-8.50128-7;;;books/el/93/WatanabeJT93;2020-05-27;;;785-790;;;;;;An Iterative Learning Fuzzy Control for Multi-Link Manipulators.;db/books/collections/TT1993.html#WatanabeJT93;1993
60091;2890606;Alla G. Kolechkina|Ronald R. P. van Nooijen;;Decision Making under Constraints;;;;;books/sp/20/CK2020;https://doi.org/10.1007/978-3-030-40814-5_25;;;books/sp/20/NooijenK20;2020-03-26;;;197-210;;;;;;Balancing Waste Water Treatment Plant Load Using Branch and Bound.;db/books/collections/CK2020.html#NooijenK20;2020
23593;24292;Torsten Suel;;Encyclopedia of Database Systems (2nd ed.);;;;;reference/db/2018;https://doi.org/10.1007/978-1-4614-8265-9_176;;;reference/db/Suel18;2019-02-14;;;;;;encyclopedia;;;Geo-Targeted Web Search.;db/reference/db/g2.html#Suel18;2018
21013;21710;;;Encyclopedia of Social Network Analysis and Mining. 2nd Ed.;;;;;reference/snam/2018;https://doi.org/10.1007/978-1-4939-7131-2_101312;;;reference/snam/X18xou;2019-02-17;;;;;;encyclopedia;;;Targeted Advertising.;db/reference/snam/snam2018.html#X18xou;2018
10705;11353;;;Encyclopedia of GIS;;;;;reference/gis/2017;https://doi.org/10.1007/978-3-319-17885-1_100416;;;reference/gis/X17ol;2017-07-12;;;621;;;encyclopedia;;;FIPS PUB 173.;db/reference/gis/gis2017.html#X17ol;2017
14193;14857;Allison M. Okamura|Blake Hannaford;0000-0001-7370-4920;Springer Handbook of Robotics;;;;;reference/robo/2008;https://doi.org/10.1007/978-3-540-30301-5_31;;;reference/robo/HannafordO08;2017-06-14;;;719-739;;;;;;Haptics.;db/reference/robo/robo2008.html#HannafordO08;2008
